1.8946169,0.899043117369237 -0.590700340358265 0.152317365781542
1.9242487,-0.903451690500615 1.07659722048274 0.152317365781542
2.008214,-0.0633337899773081 -1.38088970920094 0.958214701098423
2.0476928,-1.15393789990757 -0.961853075398404 -0.116315079324086
2.1575593,0.0620203721138446 0.0657973885499142 1.22684714620405
2.1916535,-0.75731027755674 -2.92717970468456 0.018001143228728
2.2137539,1.11226993252773 1.06484916245061 0.555266033439982
2.2772673,-0.468768642850639 -1.43754788774533 -1.05652863719378
2.2975726,-0.618884859896728 -1.1366360750781 -0.519263746982526
2.3272777,-0.651431999123483 0.55329161145762 -0.250631301876899
2.5217206,0.115499102435224 -0.512233676577595 0.286633588334355
2.5217206,0.115499102435224 -0.512233676577595 0.286633588334355
2.5687881,1.16902610257751 0.855491905752846 2.03274448152093
2.6567569,-0.218972367124187 0.851192298581141 0.555266033439982
2.677591,0.263121415733908 1.4142681068416 0.018001143228728
2.7180005,-0.0704736333296423 1.52000996595417 0.286633588334355
2.7942279,-0.751957286017338 0.316843561689933 -1.99674219506348
2.8063861,-0.685277652430997 1.28214038482516 0.823898478545609
2.8124102,-0.244991501432929 0.51882005949686 -0.384947524429713
2.8419982,-0.75731027755674 2.09041984898851 1.22684714620405
2.8535925,1.20962937075363 -0.242882661178889 1.09253092365124
2.9204698,0.570886990493502 0.58243883987948 0.555266033439982
2.9626924,0.719758684343624 0.984970304132004 1.09253092365124
3.0130809,0.436161292804989 -0.0834447307428255 -0.519263746982526
3.0373539,-0.161195191984091 -0.671900359186746 1.7641120364153
3.3375474,1.51967002306341 -0.852203755696565 0.555266033439982
3.5160131,0.100001934217311 -1.30380956369388 0.286633588334355
3.5876769,0.180156323255198 0.188987436375017 -0.519263746982526
